IDpol,ClaimNb,ds,Exposure,y,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
167,1,22/04/2025,0.77,E,4,0,55,50,B12,Regular,2715,R93
170,1,07/02/2025,0.87,F,10,0,31,72,B12,Diesel,27000,R11
173,1,12/06/2025,0.87,D,5,0,65,50,B12,Regular,645,R91
175,1,06/11/2024,0.78,B,6,1,47,53,B2,Regular,93,R91
178,1,12/06/2025,0.04,B,6,1,47,53,B2,Regular,93,R91
179,1,24/06/2025,0.03,B,6,1,47,53,B2,Regular,93,R91
181,1,29/05/2025,0.69,E,5,8,46,52,B5,Regular,3023,R11
183,1,11/07/2025,0.12,E,5,8,46,52,B5,Regular,3023,R11
184,1,26/08/2025,0.04,E,5,8,46,52,B5,Regular,3023,R11
186,1,09/08/2025,0.83,C,5,0,75,50,B12,Regular,215,R42
188,1,18/06/2025,0.03,C,5,0,75,50,B12,Regular,215,R42
189,1,30/08/2025,0.55,B,12,5,50,60,B12,Diesel,56,R25
190,1,28/04/2025,0.14,B,12,5,50,60,B12,Diesel,56,R25
193,1,24/07/2025,0.77,A,7,4,39,50,B10,Diesel,30,R72
194,1,11/07/2025,0.09,A,7,4,39,50,B10,Diesel,30,R72
195,1,28/04/2025,0.14,E,10,0,67,95,B12,Diesel,5460,R11
196,1,15/04/2025,0.67,D,5,0,22,90,B12,Regular,1324,R11
197,1,27/06/2025,0.13,E,4,0,39,100,B12,Regular,6736,R11
198,1,31/03/2025,0.59,E,4,0,39,100,B12,Regular,6736,R11
200,1,28/04/2025,0.21,E,4,10,24,85,B14,Regular,3301,R73
202,2,07/02/2025,0.65,E,4,1,24,85,B12,Regular,3301,R73
205,1,10/02/2025,0.08,C,6,0,42,52,B12,Regular,126,R22
206,1,22/02/2025,0.78,C,6,0,42,52,B12,Regular,126,R22
209,1,22/07/2025,0.34,D,4,0,48,50,B12,Regular,1622,R91
210,1,02/08/2025,0.52,D,4,0,48,50,B12,Regular,1622,R91
211,1,17/12/2024,0.42,E,10,5,32,50,B12,Regular,2757,R22
212,1,20/08/2025,0.14,E,10,5,32,50,B12,Regular,2757,R22
213,1,14/08/2025,0.01,E,10,5,32,50,B12,Regular,2757,R22
215,1,25/02/2025,0.85,E,4,1,26,100,B12,Regular,5449,R82
217,1,20/05/2025,0.74,A,5,4,31,64,B3,Diesel,9,R21
219,1,11/08/2025,0.04,A,5,4,31,64,B3,Diesel,9,R21
220,1,16/07/2025,0.07,A,5,4,31,68,B3,Diesel,9,R21
222,1,25/08/2025,0.8,E,5,0,48,50,B12,Regular,3317,R93
223,1,27/05/2025,0.06,E,5,0,48,50,B12,Regular,3317,R93
225,1,10/01/2025,0.73,D,4,0,61,50,B12,Regular,515,R54
227,1,02/04/2025,0.12,D,4,0,61,50,B12,Regular,515,R54
229,1,24/06/2025,0.8,C,6,0,45,57,B12,Diesel,495,R91
230,1,05/06/2025,0.06,C,6,0,45,57,B12,Diesel,495,R91
233,1,29/07/2025,0.79,A,5,0,49,50,B12,Regular,47,R22
234,1,23/05/2025,0.06,A,5,0,49,50,B12,Regular,47,R22
237,1,04/02/2025,0.09,E,5,0,45,50,B12,Regular,2131,R82
238,1,19/05/2025,0.75,E,5,0,45,50,B12,Regular,2131,R82
241,1,12/06/2025,0.84,E,7,4,50,50,B12,Regular,5360,R11
246,1,21/07/2025,0.08,A,7,0,38,60,B12,Regular,27,R11
247,1,04/03/2025,0.79,A,7,0,38,60,B12,Regular,27,R11
250,1,30/04/2025,0.85,C,4,0,37,64,B12,Regular,175,R72
256,1,26/05/2025,0.85,E,6,4,35,68,B5,Diesel,9307,R82
259,1,23/01/2025,0.83,D,7,0,54,50,B12,Regular,966,R31
261,1,28/08/2025,0.02,D,7,0,54,50,B12,Regular,966,R31
264,1,07/08/2025,0.85,C,5,0,51,50,B12,Regular,102,R31
266,1,20/05/2025,0.8,F,8,4,23,100,B12,Regular,17140,R11
268,1,16/07/2025,0.04,F,8,4,23,100,B12,Regular,17140,R11
271,1,03/07/2025,0.78,A,4,0,44,56,B12,Regular,13,R93
272,1,17/12/2024,0.07,A,4,0,44,56,B12,Regular,13,R93
274,1,09/07/2025,0.72,D,6,0,51,50,B12,Diesel,824,R91
275,1,01/08/2025,0.23,D,6,0,51,50,B12,Diesel,824,R91
277,1,01/04/2025,0.15,C,4,3,31,64,B2,Regular,202,R31
278,1,22/07/2025,0.11,C,4,3,32,64,B2,Regular,202,R31
280,1,10/02/2025,0.48,F,6,0,33,95,B12,Regular,27000,R11
282,1,18/01/2025,0.37,F,6,0,33,95,B12,Regular,27000,R11
285,1,13/03/2025,0.09,F,5,0,41,90,B12,Regular,27000,R11
286,1,13/05/2025,0.75,F,5,0,41,90,B12,Regular,27000,R11
289,1,22/05/2025,0.86,C,8,9,54,50,B13,Diesel,177,R93
291,1,16/04/2025,0.17,B,5,3,29,60,B4,Diesel,63,R52
292,1,21/04/2025,0.07,B,5,3,29,60,B4,Diesel,63,R52
293,1,02/08/2025,0.09,B,6,0,29,60,B12,Regular,63,R52
295,1,28/04/2025,0.04,B,5,3,29,60,B4,Diesel,63,R52
296,1,18/03/2025,0.46,B,6,0,29,60,B12,Regular,63,R52
299,1,16/04/2025,0.74,E,4,6,26,100,B6,Regular,2308,R31
300,1,04/03/2025,0.11,E,4,6,26,100,B6,Regular,2308,R31
303,1,25/07/2025,0.77,B,4,0,42,50,B12,Regular,65,R26
304,2,18/12/2024,0.07,B,4,0,42,50,B12,Regular,65,R26
306,1,22/08/2025,0.24,E,6,0,50,50,B12,Regular,8880,R11
307,1,28/07/2025,0.63,E,6,0,50,50,B12,Regular,8880,R11
311,1,17/07/2025,0.07,A,6,0,58,50,B12,Diesel,23,R54
312,1,09/06/2025,0.76,A,6,0,58,50,B12,Diesel,23,R54
316,1,18/03/2025,0.92,C,9,0,53,50,B12,Regular,104,R93
319,1,11/02/2025,0.17,C,7,0,52,50,B12,Regular,251,R93
320,1,29/03/2025,0.67,C,7,0,52,50,B12,Regular,251,R93
322,1,31/07/2025,0.09,C,5,0,35,50,B12,Regular,173,R93
325,1,02/05/2025,0.78,C,5,0,35,50,B12,Regular,173,R93
328,1,07/07/2025,0.78,E,10,0,58,50,B12,Diesel,9307,R82
329,1,24/02/2025,0.07,E,10,0,58,50,B12,Diesel,9307,R82
332,1,07/03/2025,0.85,D,4,0,41,50,B12,Regular,1784,R11
335,1,02/05/2025,0.87,B,4,0,52,90,B12,Regular,73,R24
337,1,20/05/2025,0.24,A,4,0,29,76,B12,Regular,15,R26
339,1,20/05/2025,0.09,A,4,0,29,76,B12,Regular,15,R26
340,1,24/06/2025,0.51,A,4,0,29,76,B12,Regular,15,R26
345,1,14/07/2025,0.78,E,7,0,32,58,B12,Diesel,2472,R82
346,1,19/02/2025,0.06,E,7,0,32,58,B12,Diesel,2472,R82
349,1,08/08/2025,0.84,C,4,0,74,91,B12,Regular,471,R73
352,1,01/07/2025,0.85,D,4,0,46,50,B12,Regular,1846,R72
354,1,27/03/2025,0.83,F,10,0,65,54,B12,Regular,16533,R11
355,1,01/04/2025,0.07,F,10,0,65,54,B12,Regular,16533,R11
359,1,19/05/2025,0.09,B,4,0,40,55,B12,Regular,74,R24
361,1,22/08/2025,0.76,B,4,0,40,55,B12,Regular,74,R24
364,1,09/06/2025,0.07,D,7,4,38,90,B10,Diesel,532,R11
365,1,16/05/2025,0.77,D,7,4,38,90,B10,Diesel,532,R11
367,1,30/06/2025,0.81,C,7,0,67,80,B12,Diesel,109,R42
369,1,03/07/2025,0.03,C,7,0,67,80,B12,Diesel,109,R42
371,1,30/05/2025,0.08,E,9,1,46,50,B12,Regular,2178,R11
372,1,02/06/2025,0.64,E,9,1,46,50,B12,Regular,2178,R11
374,1,12/04/2025,0.11,E,9,1,46,50,B12,Regular,2178,R11
376,1,11/08/2025,0.66,A,4,0,43,50,B12,Regular,24,R93
379,1,26/11/2024,0.18,A,4,0,43,50,B12,Regular,24,R93
382,1,27/05/2025,0.78,E,10,0,60,50,B12,Diesel,3744,R93
383,1,07/04/2025,0.07,E,10,0,60,50,B12,Diesel,3744,R93
386,1,03/06/2025,0.78,F,4,0,58,50,B12,Regular,27000,R11
387,1,07/01/2025,0.06,F,4,0,58,50,B12,Regular,27000,R11
391,1,26/06/2025,0.84,B,10,0,43,50,B12,Diesel,88,R91
394,1,14/03/2025,0.85,B,9,9,24,95,B12,Regular,95,R26
397,2,13/08/2025,0.84,C,9,8,24,100,B12,Regular,208,R11
400,1,19/08/2025,0.31,A,6,0,53,50,B12,Regular,33,R93
402,1,25/07/2025,0.01,A,5,0,53,50,B12,Regular,33,R93
403,1,12/06/2025,0.51,A,6,0,53,50,B12,Regular,33,R93
406,1,07/08/2025,0.77,C,9,0,29,72,B12,Regular,360,R91
407,1,04/08/2025,0.07,C,9,0,29,72,B12,Regular,360,R91
412,1,17/06/2025,0.84,E,7,3,40,54,B12,Regular,5746,R11
414,1,17/01/2025,0.14,E,4,0,36,85,B12,Regular,4792,R11
416,1,07/04/2025,0.09,E,4,0,36,85,B12,Regular,4792,R11
417,1,03/06/2025,0.35,E,4,0,36,85,B12,Regular,4792,R11
418,1,03/06/2025,0.25,E,4,0,36,85,B12,Regular,4792,R11
420,1,02/04/2025,0.82,E,9,0,75,50,B12,Regular,2038,R82
422,1,07/05/2025,0.02,E,9,0,75,50,B12,Regular,2038,R82
424,2,23/05/2025,0.62,F,10,0,51,100,B12,Regular,27000,R11
425,1,28/07/2025,0.22,F,5,0,51,100,B12,Regular,27000,R11
427,1,28/04/2025,0.82,A,6,9,46,64,B12,Regular,49,R25
434,1,19/08/2025,0.84,D,9,0,45,50,B12,Diesel,966,R72
436,1,18/08/2025,0.11,D,11,1,48,50,B12,Diesel,721,R93
438,1,07/03/2025,0.7,D,11,1,48,50,B12,Diesel,721,R93
439,1,06/05/2025,0.03,D,11,1,48,50,B12,Diesel,721,R93
442,1,20/06/2025,0.09,F,7,0,62,50,B12,Diesel,27000,R11
443,1,24/06/2025,0.01,F,7,0,62,50,B12,Diesel,27000,R11
444,1,08/11/2024,0.74,F,7,0,62,50,B12,Diesel,27000,R11
447,1,01/02/2025,0.58,E,4,0,30,68,B12,Regular,3963,R91
448,1,01/08/2025,0.13,E,4,0,30,68,B12,Regular,3963,R91
449,1,27/05/2025,0.17,E,5,0,30,68,B12,Regular,3963,R91
451,1,18/07/2025,0.66,F,9,1,62,50,B12,Regular,27000,R11
454,1,13/07/2025,0.71,E,7,0,47,95,B12,Diesel,6157,R31
456,1,30/04/2025,0.13,E,7,0,47,95,B12,Diesel,6157,R31
459,1,06/08/2025,0.84,B,9,0,65,50,B12,Regular,89,R52
462,1,21/11/2024,0.52,A,5,0,45,50,B12,Regular,12,R73
463,1,24/06/2025,0.31,A,5,0,45,50,B12,Regular,12,R73
465,1,21/02/2025,0.79,E,10,3,40,50,B12,Regular,5628,R11
466,1,21/08/2025,0.05,E,10,3,40,50,B12,Regular,5628,R11
468,1,02/09/2025,0.8,A,7,0,67,50,B12,Diesel,18,R93
470,1,24/04/2025,0.04,A,7,0,67,50,B12,Diesel,18,R93
473,1,08/08/2025,0.84,D,4,0,22,85,B12,Regular,1273,R26
477,1,28/02/2025,0.78,D,5,0,76,50,B12,Regular,517,R91
478,1,15/07/2025,0.06,D,5,0,76,50,B12,Regular,517,R91
480,1,11/04/2025,0.28,E,6,2,32,100,B1,Diesel,2951,R41
482,1,07/02/2025,0.7,E,6,2,32,100,B1,Diesel,2951,R41
484,1,20/01/2025,0.61,C,9,0,37,50,B12,Regular,136,R11
486,1,13/05/2025,0.1,C,9,0,37,50,B12,Regular,136,R11
487,1,19/03/2025,0.12,C,9,0,37,50,B12,Regular,136,R11
490,1,23/04/2025,0.79,C,5,1,46,50,B12,Regular,159,R54
491,1,16/07/2025,0.05,C,5,0,46,50,B12,Regular,159,R54
493,1,09/12/2024,0.8,E,6,0,50,50,B12,Regular,3744,R93
495,1,24/06/2025,0.04,E,6,0,50,50,B12,Regular,3744,R93
496,1,23/05/2025,0.42,C,6,2,40,50,B3,Diesel,181,R93
501,1,25/07/2025,0.84,C,6,2,41,50,B12,Diesel,343,R72
504,1,27/06/2025,0.78,C,4,0,50,50,B12,Regular,134,R91
505,1,26/04/2025,0.06,C,4,0,50,50,B12,Regular,134,R91
507,1,07/05/2025,0.81,E,9,1,29,85,B12,Regular,2308,R31
510,1,25/08/2025,0.11,E,9,1,29,85,B12,Regular,2308,R31
512,1,21/06/2025,0.81,F,7,0,48,50,B12,Regular,15386,R11
514,1,19/05/2025,0.03,F,7,0,48,50,B12,Regular,15386,R11
517,1,28/07/2025,0.84,D,7,2,38,50,B12,Regular,515,R11
519,1,02/04/2025,0.71,F,4,0,38,51,B12,Regular,27000,R11
521,1,01/11/2024,0.13,F,4,0,38,51,B12,Regular,27000,R11
527,1,10/06/2025,0.84,C,10,7,43,50,B12,Regular,138,R21
530,1,09/06/2025,0.79,C,9,1,45,50,B12,Regular,298,R54
532,1,26/12/2024,0.04,C,9,1,45,50,B12,Regular,298,R54
536,1,24/05/2025,0.84,D,5,0,29,76,B12,Regular,891,R41
539,1,09/01/2025,0.84,C,5,1,39,50,B12,Regular,152,R26
542,1,29/01/2025,0.84,E,5,1,58,100,B12,Regular,3541,R52
545,1,19/02/2025,0.08,D,5,0,46,50,B12,Regular,1489,R52
546,1,02/05/2025,0.76,D,5,0,46,50,B12,Regular,1489,R52
548,1,30/07/2025,0.74,E,5,0,37,50,B12,Regular,3023,R11
550,1,24/04/2025,0.08,E,5,0,37,50,B12,Regular,3023,R11
551,1,18/08/2025,0.01,E,5,0,37,50,B12,Regular,3023,R11
554,1,30/06/2025,0.08,C,6,10,40,62,B2,Diesel,309,R73
555,1,25/02/2025,0.75,C,6,10,40,62,B2,Diesel,309,R73
558,1,08/07/2025,0.84,D,12,6,36,53,B12,Diesel,1221,R83
561,1,02/12/2024,0.84,D,4,0,36,50,B12,Regular,1273,R26
563,1,28/07/2025,0.71,E,5,0,70,50,B12,Regular,3430,R93
565,1,19/07/2025,0.12,E,5,0,70,50,B12,Regular,3430,R93
567,1,13/08/2025,0.72,A,11,4,34,85,B12,Diesel,49,R94
569,1,07/08/2025,0.12,A,11,4,34,85,B12,Diesel,49,R94
571,1,09/05/2025,0.53,B,5,0,27,68,B12,Regular,85,R22
573,1,22/02/2025,0.2,B,5,0,27,68,B12,Regular,85,R22
574,1,15/08/2025,0.1,B,5,0,27,68,B12,Regular,85,R22
577,1,06/11/2024,0.79,F,7,9,23,100,B1,Regular,17140,R11
578,1,15/07/2025,0.04,F,7,9,23,100,B1,Regular,17140,R11
581,1,19/02/2025,0.78,C,4,0,47,50,B12,Regular,110,R54
582,1,10/02/2025,0.06,C,4,0,47,50,B12,Regular,110,R54
584,1,29/03/2025,0.83,A,7,4,44,50,B6,Regular,37,R94
588,1,14/07/2025,0.05,A,11,10,44,50,B1,Regular,37,R94
590,1,13/01/2025,0.78,A,11,10,44,50,B1,Regular,37,R94
592,2,11/08/2025,0.66,D,5,0,43,60,B12,Regular,714,R11
594,1,12/06/2025,0.17,D,5,0,43,60,B12,Regular,714,R11
596,1,25/07/2025,0.46,F,6,0,41,50,B12,Regular,27000,R11
598,1,21/07/2025,0.12,F,6,0,41,50,B12,Regular,27000,R11
599,1,07/06/2025,0.25,F,6,0,41,50,B12,Regular,27000,R11
602,1,03/06/2025,0.77,E,5,0,65,50,B12,Regular,3963,R91
603,1,06/05/2025,0.06,E,5,0,65,50,B12,Regular,3963,R91
606,1,31/05/2025,0.84,D,10,6,54,50,B12,Diesel,583,R93
608,1,02/06/2025,0.008196721,A,10,10,55,50,B12,Diesel,37,R94
609,1,22/08/2025,0.74,A,10,10,51,50,B12,Diesel,37,R94
613,1,20/12/2024,0.77,C,4,0,56,97,B12,Regular,193,R43
614,1,23/08/2025,0.06,C,4,0,56,97,B12,Regular,193,R43
617,1,08/01/2025,0.7,D,15,0,66,66,B12,Diesel,1457,R52
618,1,29/08/2025,0.13,D,15,0,66,66,B12,Diesel,1457,R52
620,2,09/12/2024,0.07,D,5,0,34,64,B12,Regular,1565,R31
622,1,15/01/2025,0.75,D,5,0,34,64,B12,Regular,1565,R31
624,1,09/06/2025,0.83,D,7,7,59,50,B12,Regular,539,R73
626,1,17/09/2024,0.21,C,10,8,29,72,B4,Regular,463,R42
630,2,08/07/2025,0.69,C,5,2,29,90,B6,Regular,335,R91
631,1,19/03/2025,0.13,C,5,2,29,90,B6,Regular,335,R91
634,1,24/02/2025,0.03,E,7,0,53,50,B12,Diesel,9307,R82
635,1,19/05/2025,0.53,E,7,0,53,50,B12,Diesel,9307,R82
636,1,14/03/2025,0.008196721,E,7,0,53,50,B12,Diesel,9307,R82
637,1,21/04/2025,0.04,E,7,0,53,50,B12,Diesel,9307,R82
638,1,21/05/2025,0.22,E,7,0,53,50,B12,Diesel,9307,R82
640,1,21/07/2025,0.83,D,6,0,62,74,B12,Regular,726,R91
642,1,17/07/2025,0.74,E,6,0,31,62,B12,Regular,2308,R31
644,1,07/05/2025,0.09,E,6,0,31,62,B12,Regular,2308,R31
646,1,17/04/2025,0.005464481,D,6,0,45,50,B12,Diesel,1472,R31
647,1,01/07/2025,0.51,D,6,0,45,50,B12,Diesel,1472,R31
648,1,22/04/2025,0.14,D,7,0,45,50,B12,Diesel,1472,R31
651,1,24/06/2025,0.17,D,6,0,45,50,B12,Diesel,1472,R31
653,1,27/12/2024,0.03,B,5,0,61,50,B12,Regular,66,R93
654,1,06/08/2025,0.8,B,5,0,61,50,B12,Regular,66,R93
657,1,21/02/2025,0.04,E,9,0,59,85,B12,Regular,6913,R11
659,1,12/02/2025,0.79,E,9,0,59,80,B12,Regular,6913,R11
661,1,19/05/2025,0.1,D,4,0,33,57,B12,Regular,1577,R41
662,1,25/06/2025,0.72,D,4,0,33,57,B12,Regular,1577,R41
666,1,21/06/2025,0.07,B,6,0,31,57,B12,Diesel,78,R73
668,1,24/07/2025,0.75,B,6,3,31,57,B12,Diesel,78,R73
670,1,04/07/2025,0.19,D,6,0,27,76,B12,Regular,1287,R72
671,1,13/05/2025,0.64,D,6,0,27,76,B12,Regular,1287,R72
676,1,24/06/2025,0.1,C,7,0,45,50,B12,Regular,177,R93
677,1,14/07/2025,0.76,C,7,0,45,50,B12,Regular,177,R93
679,1,12/08/2025,0.1,D,4,0,31,55,B12,Regular,1955,R94
680,1,30/05/2025,0.65,D,4,0,31,55,B12,Regular,1955,R94
681,1,17/06/2025,0.07,D,4,0,31,55,B12,Regular,1955,R94
685,1,03/07/2025,0.85,B,10,10,42,50,B12,Diesel,96,R73
687,1,15/07/2025,0.41,D,4,0,24,100,B12,Regular,1489,R52
688,1,22/04/2025,0.55,D,4,0,24,100,B12,Regular,1489,R52
692,1,23/06/2025,0.07,A,5,0,33,50,B12,Regular,47,R41
694,1,03/04/2025,0.04,A,6,0,33,50,B12,Regular,47,R41
696,1,07/01/2025,0.71,A,5,0,33,50,B12,Regular,47,R41
698,1,25/11/2024,0.1,C,9,0,36,85,B12,Regular,269,R93
700,1,14/08/2025,0.78,C,9,0,36,85,B12,Regular,269,R93
702,1,23/07/2025,0.2,B,5,0,48,50,B12,Regular,58,R11
704,1,04/05/2025,0.79,B,5,0,48,50,B12,Regular,58,R11
706,1,18/06/2025,0.21,B,7,8,22,100,B2,Regular,53,R26
708,1,20/01/2025,0.43,B,7,8,22,100,B2,Regular,53,R26
709,1,20/05/2025,0.18,B,7,8,22,100,B2,Regular,53,R26
711,1,14/08/2025,0.83,C,4,0,44,50,B12,Regular,126,R41
714,1,11/06/2025,0.48,C,9,0,32,61,B12,Regular,352,R41
715,1,16/07/2025,0.33,C,9,0,32,61,B12,Regular,352,R41
717,1,10/02/2025,0.03,C,9,0,32,61,B12,Regular,352,R41
719,1,10/03/2025,0.9,B,10,0,45,50,B12,Diesel,84,R21
722,1,29/01/2025,0.01,C,6,0,52,50,B2,Diesel,132,R94
723,1,29/05/2025,0.51,C,6,0,52,50,B2,Diesel,132,R94
724,1,19/02/2025,0.22,C,8,6,52,50,B3,Diesel,132,R94
726,1,25/02/2025,0.83,E,5,0,29,64,B12,Diesel,3301,R73
730,1,05/02/2025,0.83,E,10,4,30,95,B1,Regular,3075,R72
731,1,18/03/2025,0.12,D,8,9,23,90,B12,Regular,745,R82
732,2,24/03/2025,0.21,D,8,9,23,90,B12,Regular,745,R82
734,1,19/05/2025,0.83,E,5,0,31,60,B12,Regular,4998,R11
738,1,15/07/2025,0.25,D,10,1,40,63,B12,Diesel,1662,R11
739,1,01/09/2025,0.57,D,10,1,40,50,B12,Diesel,1662,R11
742,1,18/07/2025,0.82,A,7,1,70,50,B12,Diesel,31,R73
745,1,05/02/2025,0.41,D,6,0,74,50,B12,Diesel,721,R93
746,1,21/08/2025,0.05,D,6,0,74,50,B12,Diesel,721,R93
748,1,22/04/2025,0.36,D,6,0,74,50,B12,Diesel,721,R93
750,1,10/10/2024,0.83,D,4,6,36,100,B1,Regular,824,R91
754,1,16/12/2024,0.35,E,6,3,28,80,B12,Diesel,2767,R52
755,1,21/06/2025,0.03,E,6,3,28,80,B12,Diesel,2767,R52
756,1,07/02/2025,0.56,E,6,3,28,80,B12,Diesel,2767,R52
758,1,11/08/2025,0.1,D,4,0,45,50,B12,Regular,1468,R93
759,1,02/01/2025,0.72,D,4,0,45,50,B12,Regular,1468,R93
762,1,27/03/2025,0.75,D,10,8,52,50,B12,Diesel,1955,R94
765,1,03/05/2025,0.75,D,4,10,52,50,B4,Diesel,1955,R94
